Gemi Adi,Konteyner Numarasi,Kalkis Limani,Varis Limani,Kalkis Tarihi,Varis Tarihi,Tasima Ucreti,Tasima Mesafesi
French-James,5169268278,Fernandezmouth,Wardstad,2023-06-10 11:57:01,2024-10-22 19:53:40,1374.4,9395.49
White PLC,2662736110,Christianshire,Kelleyfort,2023-04-10 09:04:00,2024-03-22 06:02:41,1125.07,5192.11
Chase-Clayton,431671972,Brianberg,Kimberlyborough,2023-09-27 05:45:34,2024-11-18 09:31:55,8037.85,9788.63
"Carrillo, Bridges and Kim",4340703024,Youngberg,Danielville,2024-01-19 06:17:36,2024-05-25 10:02:29,7770.22,5131.67
Haley Inc,7250458939,Guzmanburgh,Lewisfurt,2023-05-15 23:56:21,2025-01-17 21:49:40,3053.9,7261.7
Wells LLC,6633287754,East Adrianland,West Peter,2023-07-17 07:58:04,2024-07-20 22:13:58,7168.12,1756.29
Brown Group,3909349954,Millerfort,Port Michaelland,2023-04-23 17:11:46,2024-10-01 19:28:59,1849.28,7534.26
Vaughn-Knight,6893544480,East Christine,Cookmouth,2024-01-27 17:35:38,2024-07-30 16:42:32,8183.82,4781.06
"Stone, Lee and Keller",7454546066,Lawrenceside,Thompsonchester,2023-12-31 15:13:05,2024-08-09 04:02:15,1884.67,4418.41
Adams-Bright,949653145,Karenport,West Kathryn,2023-10-09 23:45:31,2024-08-26 08:16:17,2757.12,3589.34
"Marsh, Lewis and Reese",2455365933,Phillipsbury,West Walterside,2023-11-16 13:13:25,2024-03-27 01:11:19,8902.74,7565.94
Baird-Thomas,8789665509,Shellyview,Kristentown,2023-11-05 21:38:50,2024-06-02 00:25:40,1634.66,9262.19
Miles LLC,2875445737,Daniellebury,South Pamela,2023-04-26 21:37:13,2024-04-22 17:23:42,4931.34,3160.8
Frye-Trevino,7433213505,Foleyview,Port Theresaport,2023-04-06 12:37:44,2024-10-09 00:10:05,7102.85,3165.7
"Middleton, Gill and Carter",446767443,Laurenville,South Brendanmouth,2023-04-24 21:48:27,2024-09-15 05:33:46,1979.56,779.2
"Crawford, Hernandez and Mooney",8953644265,Lake Juliefort,Williamsfurt,2024-01-20 03:55:20,2024-04-09 07:53:04,9111.4,7933.16
Mays-Obrien,2405490992,Mcdonaldfort,West Jessicaborough,2023-05-30 16:44:58,2024-07-03 23:25:27,4689.21,9256.84
"Smith, Roy and Ortiz",2695310384,East Jamie,Danabury,2023-06-02 13:47:50,2024-06-01 22:59:57,8351.61,2190.76
Lane-Smith,3910861439,Port Jeremiahchester,Port Josephberg,2024-02-06 08:35:41,2024-07-01 00:21:17,6900.45,7920.08
Martinez PLC,8962906133,East Maryborough,New Elizabethton,2023-07-06 05:43:07,2024-05-19 04:11:48,8357.19,8107.89
"Peters, Tate and Mccormick",2670355538,East Austin,North Sarah,2024-01-21 07:59:03,2024-08-11 05:56:43,8195.58,8839.62
Rocha Ltd,5773011141,Aliciaburgh,New Nicholas,2023-03-01 21:50:36,2024-06-14 05:27:02,5270.67,5104.03
Long-Kidd,139732980,Port Christieville,Karenton,2023-04-21 15:28:38,2024-06-30 14:06:47,2642.17,5505.59
Morrison-Richardson,5319595772,Coxside,Heidiport,2024-01-24 12:32:08,2024-05-05 03:35:14,5855.03,6488.04
Flores-Gonzalez,3906801838,North Kristine,West Robertborough,2023-08-22 01:33:48,2024-11-29 14:45:57,2727.58,3538.95
Valdez LLC,5460301670,Lake Daleside,Lake Sherry,2023-12-26 03:46:46,2025-01-03 18:34:45,4657.21,9013.09
"Lopez, Carr and Petty",5946595842,North Sydney,West Jackmouth,2023-05-10 06:32:11,2025-01-02 10:25:02,8189.89,5750.95
Price Ltd,9802649970,South Randy,Welchside,2023-11-24 23:20:47,2024-09-02 15:45:52,8574.55,2932.08
Oneill-Smith,4203470138,Rushport,Port Jessicahaven,2023-05-07 09:13:13,2024-12-05 10:42:56,7912.72,8189.08
Fletcher-Ramirez,4174229339,South David,Bethshire,2024-02-16 06:38:41,2024-08-31 12:52:44,6491.24,4051.21
Garcia-Blair,6270620665,North Heidifort,Banksport,2023-04-04 15:21:03,2024-12-03 03:29:20,5905.01,4239.48
Strickland-Armstrong,7522657810,Brettstad,Vaughnshire,2023-12-18 18:26:16,2024-04-09 05:37:34,4328.45,3355.03
Chavez-Johnson,1757048097,Port Samantha,Davisland,2023-12-22 11:52:49,2025-02-11 18:52:24,1508.82,2466.42
"Schwartz, Luna and Johnson",6972850405,North Mary,South Ashley,2023-04-16 05:08:09,2025-02-15 18:50:24,8065.65,723.56
"George, Black and Mitchell",3836007869,Jasonfort,Lake Margaret,2023-12-16 08:08:44,2024-10-02 19:15:49,9050.43,686.85
"Banks, Hampton and Stark",4623124814,Cynthiafurt,Port Ernest,2023-04-16 05:44:30,2024-12-01 15:53:00,4476.6,7358.59
"King, Alexander and Pacheco",7561093746,Port Wendy,Newtonton,2023-10-15 13:43:46,2024-12-07 12:10:52,9445.7,9161.19
"Hess, Logan and Collins",70196302,Port Kimberlyview,Monicaton,2023-10-25 01:59:04,2024-11-04 12:33:16,7461.36,9292.45
"Stewart, Wallace and Hill",9566261319,Kathleentown,South Sandra,2023-06-30 12:21:00,2024-12-28 16:17:49,3907.31,5581.45
Winters-Obrien,4596487559,North Heather,Curtisville,2023-07-10 02:19:23,2025-02-14 07:18:53,5536.06,5434.67
Russell-Jones,7304216936,Spenceside,Brownside,2023-04-20 08:38:08,2024-07-08 01:18:03,5994.83,7721.29
Brady and Sons,7815132073,South Allisonview,North Lisa,2023-02-19 16:13:12,2024-08-09 22:19:29,8397.41,9675.49
Ortiz LLC,1833643952,East James,Jennafort,2023-02-28 22:34:08,2024-05-04 22:17:33,6828.75,1904.6
Johnson-Larson,6140371313,Kimberg,East Kimberlymouth,2023-09-19 20:07:15,2024-03-11 19:24:43,7684.71,7706.41
Estrada-Barrett,9184380713,Lake Cassandraland,Lake Nataliebury,2023-11-30 09:50:25,2024-05-01 06:03:27,5468.59,2416.77
Miller-Cooper,6466955529,Alexanderland,Lake Christopherfort,2023-04-06 12:45:15,2024-05-07 01:17:37,6053.44,7399.97
Ellis-Butler,9340983838,West Travisport,Lake Alejandraville,2024-02-04 10:58:10,2024-07-13 04:10:25,3516.69,382.19
Copeland-Henderson,2152835851,North Susanland,South Joseph,2023-05-04 20:09:20,2024-05-09 13:58:48,6827.75,1433.25
Harris-Williams,6432204133,Randallbury,Bowenbury,2023-06-03 15:00:33,2024-11-22 18:29:42,8622.7,7002.64
Clark Ltd,107380489,Lake Waltermouth,Staceyville,2023-11-15 01:34:12,2024-06-04 23:08:41,7378.52,3095.08
"Graham, Morgan and Ramirez",594827191,New Dennismouth,Lewischester,2023-03-03 12:45:29,2024-02-23 03:29:43,9465.05,8612.76
Horn and Sons,7177454468,Roblesside,Hansontown,2023-10-14 04:46:55,2024-12-15 15:37:24,1073.52,2956.8
Davis Group,268101283,West Adrienne,Michaeltown,2023-05-31 21:55:56,2024-11-13 11:02:57,3410.13,378.72
Williams PLC,6799291525,New Richard,North Justin,2023-07-09 07:52:35,2025-02-17 22:50:46,5571.77,8678.66
Wiley-Bright,3910686332,Andersonton,East Marybury,2023-10-06 16:04:28,2024-05-05 19:16:45,7470.47,3968.22
"Jenkins, Wagner and Nicholson",1961253684,Lake Margaretside,North Brian,2023-06-13 00:03:40,2024-05-04 21:19:30,5216.53,9799.6
Kramer-Taylor,7433782599,Kellerside,Millerhaven,2023-05-17 02:20:34,2024-02-29 00:27:56,9370.2,3197.42
Sanders-Mendoza,6842559031,New Maxland,Nicoleton,2023-04-09 06:59:32,2024-08-05 09:50:39,2962.78,6474.72
Stone-Smith,8758556801,South Peter,North Benjaminbury,2023-08-03 02:22:01,2024-08-24 06:07:57,1614.01,4703.69
Graham-Calhoun,4112177851,Bradfordland,Port Drewfort,2023-03-06 10:08:12,2024-08-07 23:50:28,6202.17,7203.38
Brennan and Sons,2955676410,Smallport,Allenmouth,2023-03-01 15:34:26,2024-03-19 09:47:48,8216.56,2531.12
"Cherry, Miller and Barrera",3435931267,South Christianbury,Kanefort,2023-10-31 22:58:55,2024-08-21 01:08:31,7250.54,7277.99
"Vargas, Farmer and Hanson",8663565295,Hornside,North Jonathan,2023-07-10 03:28:33,2024-05-31 04:25:51,4656.51,200.1
Larson PLC,7158221577,Scottfurt,North Nicholas,2023-12-01 04:40:03,2024-09-13 22:43:18,8736.35,7577.0
"Dixon, Brown and Russell",8421743045,Juliestad,Pierceville,2023-07-18 09:12:12,2025-01-29 04:03:29,7422.0,6563.7
Johns-Jones,6009793993,North Ericchester,Port Brett,2023-06-28 00:39:34,2024-07-20 18:49:57,5292.39,1419.32
Bailey LLC,9929844622,Justinland,West Monica,2023-12-11 19:54:24,2024-11-27 01:28:08,5899.12,1398.78
Burch-Wright,3945030375,East Michael,West Elizabeth,2024-02-11 02:41:42,2025-02-04 11:04:18,4772.46,5121.21
Perez-Allen,524955870,Silvamouth,Lake Nancymouth,2023-08-05 23:02:44,2024-09-12 07:09:16,7062.95,447.9
"Washington, Jones and Norton",7723024607,Port Jenniferbury,West John,2023-12-11 13:00:15,2024-04-04 21:05:21,3811.31,1940.69
Hale-Valenzuela,6694306558,Port Adamshire,New Kristopher,2023-06-18 07:37:50,2024-07-17 12:46:22,8893.73,1095.94
"Parks, Harris and Hawkins",9819626590,Coxview,Lake Catherine,2023-07-23 19:11:54,2024-06-22 05:14:00,1548.44,9902.9
"Chapman, Franklin and Foster",126025459,Millerville,Lake Leah,2023-03-24 12:17:53,2024-05-05 07:22:29,2875.41,7847.21
Diaz-Brooks,8714933314,New Brian,Port Danielland,2023-04-16 00:50:26,2024-09-10 23:42:36,2261.21,5086.57
"Gomez, Brown and Holland",1512902616,Lake Aaron,Michelleburgh,2023-03-14 22:29:37,2024-02-21 14:10:03,7577.7,9155.69
Carter and Sons,9923934551,Fisherchester,West Sherry,2023-11-18 01:26:20,2024-04-04 10:46:11,2841.4,5281.54
"Schmitt, Young and Brown",9469950877,East Catherineside,Andrewberg,2023-05-29 05:39:32,2024-03-01 16:08:16,8187.14,5391.82
Cook Inc,6463835588,Lake Dwayneburgh,West Virginiaberg,2023-10-27 09:56:41,2024-03-31 14:13:19,5528.37,2875.9
"Benton, Perez and King",9335621932,Hallside,Espinozafort,2023-09-05 13:30:27,2024-11-01 12:06:22,8721.31,7682.45
Neal-Jones,601522982,South Johnville,North Brian,2023-07-29 02:12:38,2024-07-07 03:37:43,2352.48,3392.75
Duncan-Stephenson,5185831144,Port Christophermouth,Alexandraport,2023-04-22 05:16:13,2025-02-09 10:28:25,8223.82,1921.64
Compton PLC,9823059655,South Jessicaborough,New Kathleen,2023-06-19 21:59:38,2024-10-08 04:12:35,8205.93,8055.69
Alvarez-Romero,1160383177,South Cynthiaton,Elizabethburgh,2023-10-13 14:27:19,2025-01-05 01:21:45,9900.93,7365.77
"Thompson, Schultz and Hunt",2900991906,New Tyler,East Brandy,2024-02-06 21:59:09,2024-06-29 06:50:46,1719.02,3681.64
Meyers PLC,1954348662,Jacobsmouth,Jacksonmouth,2024-01-18 23:38:31,2024-04-21 17:38:14,6729.27,6394.19
Long-Cuevas,2534106833,Clarkmouth,Saraport,2023-05-04 04:43:06,2024-04-11 02:21:16,1680.11,7396.6
Leonard-Compton,2538153241,Humphreyfurt,Odonnellburgh,2023-12-02 08:44:38,2024-06-22 03:31:51,7133.06,5544.9
"Shaw, Trujillo and Ballard",8412811746,Lake Katherinemouth,Brownmouth,2023-11-19 20:56:31,2024-08-15 01:39:24,4370.91,8498.21
"Mitchell, Fowler and Anderson",3786833423,Tonyport,North Jamesbury,2023-12-12 19:38:02,2024-11-24 02:33:27,8684.55,5954.5
Brown and Sons,7456841308,Anntown,New Dale,2023-03-06 10:02:25,2024-09-07 10:38:02,9583.38,1269.82
Jordan Inc,2417812186,West Ericbury,North Dominique,2023-08-14 22:41:35,2024-09-22 08:15:16,9352.5,9265.6
"Shannon, Oneill and Martinez",3061015977,Carolynton,Duffychester,2023-10-30 17:57:22,2024-08-23 13:00:01,9496.78,7627.57
"Warren, Johnson and Villarreal",8922326693,New Christy,Chelseahaven,2023-08-19 22:32:04,2024-09-09 05:17:16,7278.47,9105.56
"Briggs, Park and Greer",1994691283,West Joshua,North Jonathanmouth,2023-06-10 03:14:18,2024-10-06 04:48:39,2832.34,6574.94
Nichols-Fitzgerald,464831874,Frankville,Rosebury,2024-02-09 17:21:55,2024-08-29 20:12:35,6689.18,2703.25
"Haney, Arnold and Cook",435196624,Leefurt,Port Vanessafort,2023-07-16 11:12:43,2024-03-13 23:58:07,1280.25,6659.23
Mcknight-Johnson,6494642179,East Christopherbury,Michelleside,2023-07-12 17:22:35,2024-10-20 12:28:48,4426.14,7099.41
Smith LLC,6584425128,West Tammychester,East Jacqueline,2023-12-24 13:21:24,2024-04-28 00:46:11,6318.91,403.03
Anderson LLC,7581972852,Sotoville,Kellymouth,2023-03-28 01:12:26,2024-04-09 08:00:44,3692.23,4678.9
Fisher Group,9746596660,Samanthaside,East Joseph,2023-07-14 00:38:51,2024-12-28 09:58:22,9005.53,8975.53
"Evans, Johnson and Walton",2452201985,Port Jennifer,Tommychester,2023-04-15 10:47:14,2024-03-18 01:56:05,3536.92,2047.25
Schmidt-Terry,6608945677,Kathyfurt,Sullivanstad,2023-04-17 16:28:48,2024-08-07 11:28:20,1929.22,722.69
Perry-Thomas,3740457888,West Kathy,Freemanmouth,2023-05-26 23:52:40,2024-06-27 13:30:18,4657.0,2779.91
Ellis Ltd,5449893234,South Donaldton,Lake Christinaberg,2023-07-27 04:07:29,2024-12-21 15:54:03,7723.59,4687.23
Thompson Inc,3822570350,South Jane,North Peterburgh,2023-03-21 04:41:30,2024-03-19 01:48:12,6228.26,6870.38
Robinson Ltd,1486463298,New Lisaside,East Pamela,2023-03-24 14:49:49,2024-07-16 01:10:24,7652.5,6063.19
Werner-Hogan,5373648951,Jenningsmouth,Robertside,2024-01-14 17:59:47,2024-12-24 12:19:37,4140.76,9176.39
Stevens-Pierce,1800074569,Casefort,Lake Stephanieberg,2023-12-27 04:04:41,2025-01-14 12:41:21,9453.98,1972.26
"Smith, Johnson and Crawford",5788372238,West Stephanieberg,Gregorymouth,2024-02-01 13:40:23,2024-05-28 22:50:51,1359.2,9646.76
Nelson-Cohen,8939002946,Lake Alyssa,East Kenneth,2023-04-02 05:51:31,2024-12-17 22:52:35,4241.89,2408.12
"Lynch, Winters and Campos",1775603761,Kaiserstad,South Elizabethhaven,2023-08-30 08:21:42,2024-12-22 02:38:02,9552.08,1195.57
"Harvey, Anderson and Garcia",7850016051,Williammouth,Port Justin,2023-08-18 17:41:00,2025-02-12 09:35:44,8365.37,2217.05
"Pena, Martin and Bryan",1168195409,Harristown,Andrewfurt,2023-08-23 01:05:29,2024-07-29 01:32:40,7161.48,7819.0
Roberts LLC,5739412612,West Sherryside,South Ricky,2023-07-18 09:44:38,2025-02-06 02:48:20,9759.4,7025.47
Stafford LLC,5815692005,Tamaramouth,Lake Ashley,2023-11-24 07:58:08,2024-03-25 23:43:13,4516.14,2704.74
Johnson-Silva,8258088977,South Christianberg,Salinasfurt,2023-03-09 11:49:51,2025-02-18 21:05:18,3111.44,2394.98
Shaffer-Davila,4579120851,Michaelfort,Mathisstad,2023-09-15 20:19:02,2024-04-28 02:14:00,1549.01,9491.29
"Cunningham, Hardy and Montgomery",7861681647,Ballardstad,Josephshire,2023-09-21 03:59:39,2024-08-01 22:18:48,1076.16,2583.93
"Pratt, Jordan and Smith",6332028790,Port Morgan,Port Reginahaven,2023-05-04 18:24:16,2024-08-27 01:17:44,6072.6,5264.05
"Williams, Wood and Smith",4788353897,West Lynnside,West Blake,2023-04-19 10:32:56,2024-07-17 02:01:51,8394.51,9379.73
Robertson Ltd,2100936989,Aaronstad,Brownbury,2023-04-25 19:42:01,2025-01-20 19:26:03,2897.87,7270.02
Mccullough-Rocha,4085116212,Tarabury,Vincentside,2023-03-29 04:53:44,2024-09-21 11:18:40,4678.73,1959.88
"Wells, Carrillo and Lee",558474073,Riosport,Beckville,2023-07-28 04:19:39,2024-08-23 02:28:19,7660.95,9884.47
Jackson PLC,8925901861,Christopherport,West Paul,2023-03-11 12:47:19,2025-02-17 15:59:35,6917.3,8739.2
"Taylor, Lindsey and Pierce",7203192709,North Francisco,Lake Elizabeth,2024-01-25 03:53:31,2024-04-07 12:05:28,5627.27,6860.16
Davis-Osborne,8677583568,South Rachelport,North Lindahaven,2023-04-05 10:36:26,2024-09-09 22:35:44,2412.44,253.54
Green-Love,7526318262,Brittanytown,Davisburgh,2023-02-28 14:47:41,2025-01-08 14:25:17,1303.45,9158.62
"Pierce, Meyer and Mitchell",4931332084,Frederickfort,Valentinefort,2023-08-03 13:17:36,2024-08-23 08:25:41,9958.9,7277.74
"Conner, Torres and Thompson",6235634120,Wilsonstad,Lake Sheila,2023-12-04 13:33:06,2024-06-14 14:14:15,7372.57,5955.08
"Cox, Beck and Mcdonald",602286626,Rebekahmouth,East Betty,2023-08-28 16:49:36,2024-10-16 16:54:57,9771.79,5154.12
"Johns, Anderson and Stafford",3706589861,Port Johnland,East Biancaview,2023-08-01 18:35:50,2024-10-26 19:11:08,4370.82,2403.81
Good and Sons,9422061349,Dennisland,Ramirezfurt,2023-03-26 08:31:35,2024-11-21 22:46:37,1023.89,9883.3
"Frazier, Ball and Pace",5047531998,Joshuafort,Susanview,2023-05-12 13:54:39,2024-03-24 21:36:15,9272.97,7962.26
Landry Group,2096946231,Stephenbury,East Johnton,2023-04-27 07:42:16,2024-09-29 06:11:16,8526.01,6286.63
"Horton, Jenkins and Bond",8190800144,Williamsport,Port Rachelport,2023-05-21 19:23:58,2024-08-18 01:58:02,6397.07,1129.19
Clark PLC,3868027117,Brownmouth,Antoniohaven,2023-10-21 12:41:02,2024-04-15 10:51:39,5593.98,435.16
"Shields, Parker and Flowers",3235859972,Sullivanbury,North Corey,2023-12-17 13:23:34,2024-04-05 06:06:34,2456.03,9976.34
"Gomez, Salinas and Scott",3147365678,Jonesville,Lake Ivanview,2023-08-20 11:38:03,2024-06-13 08:11:28,1605.23,473.33
Smith-Hess,2807631025,East Lucas,Crystalhaven,2023-09-08 02:45:19,2024-04-18 04:09:14,1031.4,3137.18
Padilla-Cooper,9793249929,New Gabrielle,Nicolehaven,2023-12-31 11:13:49,2024-03-09 15:04:49,4280.88,1952.02
"Roberts, Arnold and Sexton",4807182895,East Grace,Janefort,2023-08-12 20:50:04,2025-02-10 07:11:09,8034.83,4446.08
"Wilson, Kelly and Estes",4430604858,New Kimberly,South Jacqueline,2023-11-28 10:48:44,2024-05-04 02:03:05,2625.79,9027.84
Webb LLC,5567456774,Port Brian,New Randall,2023-04-15 15:12:39,2024-06-27 18:36:36,6933.91,2620.44
Flores LLC,9784970761,Lewistown,North Jeffrey,2023-03-11 03:08:37,2025-02-02 06:53:02,2846.63,9455.3
Deleon-Summers,4594768977,North Anthony,Javierchester,2023-09-08 20:24:52,2024-02-19 18:01:40,7982.76,6948.34
Matthews-Trevino,9182354638,New Linda,Karlashire,2023-05-09 02:28:17,2024-05-13 07:47:41,5522.89,8351.47
"Rodriguez, Campbell and Evans",6681186205,East Melissa,Mercadoville,2023-10-15 07:49:21,2025-02-10 01:22:14,7899.53,7882.92
Garcia Ltd,877538796,Millerchester,Lake Justin,2023-07-16 13:08:56,2024-12-23 01:00:11,1888.12,2900.93
Nguyen-Duarte,5958435959,Denisebury,Charlesview,2024-01-18 05:56:02,2024-08-22 00:32:54,2414.1,566.81
Vaughan-Castaneda,9961894138,South Nathanville,Kleinborough,2023-12-10 23:44:34,2024-12-14 00:54:19,9864.6,6424.58
Leon LLC,4437709958,Julieberg,Williamberg,2023-04-30 21:27:19,2024-11-04 23:02:52,4181.84,5744.71
"Rogers, Johnson and Sanchez",2107339230,Pattersonberg,Navarroton,2023-12-08 16:28:52,2024-09-17 17:45:09,5409.65,586.39
Solis-Holmes,802447964,Wandaview,Ryanmouth,2023-10-19 06:28:16,2024-10-19 16:54:42,8645.89,8233.86
Carlson Group,6332697357,West Edwardburgh,New Ariel,2023-02-23 15:32:53,2024-11-20 00:50:12,9070.58,7590.01
Lewis-Lee,2888454649,Lake Tara,West Sabrina,2024-02-11 14:51:43,2025-01-29 15:53:38,8322.41,9206.2
Moore-Wright,1978009785,Reedmouth,South Andrewshire,2024-01-23 06:09:35,2025-02-15 11:05:10,6647.59,1666.96
Leonard-Taylor,5490765344,Lake Jessica,New Debra,2023-10-03 10:21:54,2024-05-25 15:41:19,2283.07,3892.33
Willis-Morris,7349652274,West Stephaniehaven,East Suzanne,2023-04-08 17:19:32,2024-11-05 03:54:01,5978.37,7764.5
